asin,url,brand,product_title,category,format_size,unit_ml,pack_count,price_cad,ss_offered,ss_pct,coupon_value_cad,promo_text,flavours,caffeine_mg,sodium_mg,potassium_mg,sugar_g,calories,sweetener,claims,star_rating,num_ratings,badge,bsr
,,Lemon Perfect,Lemon Perfect Cold-Pressed Lemon Water,3,355 mL bottle,355,,,,,,,"Just Lemon, Peach Raspberry, Dragon Fruit Mango, Blueberry Acai, Strawberry Passionfruit",0,20,70,1,5,Stevia + monk fruit,"Cold-pressed lemon, vitamin C, electrolytes, low sugar, organic",,,,
,,KeVita,KeVita Sparkling Probiotic Drink,3,440 mL bottle,440,,,,,,,"Lemon Ginger, Mojita Lime Mint Coconut, Strawberry Acai Coconut, Roots Beer",0,80,Not listed,5,25,Stevia + juice,"Billions of probiotics, sparkling, gut health, low sugar",,,,
,,Brew Dr,Brew Dr Kombucha,3,414 mL bottle,414,,,,,,,"Clear Mind, Superberry, Island Mango, Happiness, Ginger Turmeric",15,10,Not listed,10,50,Naturally fermented,"Organic raw kombucha, probiotics, gut health",,,,
,,Karma,Karma Wellness Water,3,532 mL bottle,532,,,,,,,"Berry Cherry, Orange Mango, Acai Pomegranate, Tropical Pineapple",0,10,Not listed,10,40,Cane sugar + stevia,"Push-cap fresh vitamins, antioxidants, function-by-flavour",,,,
,,ALO,ALO Exposed Aloe Vera Drink,3,500 mL bottle,500,,,,,,,"Original Aloe + Honey, Mango Mangosteen, Pomegranate Cranberry, Pink Grapefruit Lemon",0,20,Not listed,20,90,Cane sugar,"Real aloe vera pulp, antioxidants, vitamins",,,,
,,Red Bull,Red Bull Energy Drink,4,250 mL can,250,,,,,,,Original,80,105,Not listed,27,110,Sucrose + glucose-fructose,"Energy, focus, taurine 1000 mg + B-vitamins (B3/B5/B6/B12)",,,,
,,Red Bull,Red Bull Sugarfree,4,250 mL can,250,,,,,,,Original (sugarfree),80,105,Not listed,0,10,Sucralose + acesulfame-K,"Energy, zero sugar, taurine 1000 mg + B-vitamins",,,,
,,Monster,Monster Energy Original (Green),4,473 mL can,473,,,,,,,Original,160,370,Not listed,54,210,Sugar + glucose,"Big energy blend, taurine, ginseng",,,,
,,Monster,Monster Energy Ultra Zero (White),4,473 mL can,473,,,,,,,"Zero Ultra, Ultra Paradise, Ultra Sunrise, Ultra Watermelon, Ultra Gold, Ultra Vice Guava, Ultra Peachy Keen",150,370,Not listed,0,10,Erythritol + sucralose,"Zero sugar, light taste, full energy",,,,
,,Celsius,Celsius Original Sparkling,4,355 mL can,355,,,,,,,"Sparkling Orange, Wild Berry, Kiwi Guava, Cola, Fuji Apple Pear, Sparkling Cranberry",200,5,50,0,10,Sucralose,"Accelerates metabolism, MetaPlus blend, zero sugar, vitamins",,,,
,,Celsius,Celsius Essentials,4,473 mL can,473,,,,,,,"Cosmic Blue, Sparkling Green, Dragonberry, Orange Mango",270,10,Not listed,0,10,Sucralose,"Higher caffeine, amino acids, zero sugar",,,,
,,Prime,Prime Energy,4,355 mL can,355,,,,,,,"Blue Raspberry, Tropical Punch, Lemon Lime, Ice Pop, Strawberry Watermelon",200,10,Not listed,0,10,Sucralose + acesulfame-K,"Zero sugar, electrolytes, B-vitamins",,,,
,,C4,C4 Energy (Performance),4,473 mL can,473,,,,,,,"Frozen Bombsicle, Cotton Candy, Strawberry Watermelon, Tropical Blast, Orange Slice",200,45,Not listed,0,0,Sucralose + acesulfame-K,"Pre-workout energy, beta-alanine (CarnoSyn)",,,,
,,Reign,Reign Total Body Fuel,4,473 mL can,473,,,,,,,"Razzle Berry, Melon Mania, Sour Apple, Orange Dreamsicle, Lemon HDZ",300,10,Not listed,0,10,Sucralose,"300 mg caffeine, BCAAs, CoQ10, zero sugar",,,,
,,Alani Nu,Alani Nu Energy,4,355 mL can,355,,,,,,,"Hawaiian Shaved Ice, Witch's Brew, Mimosa, Cosmic Stardust, Breezeberry, Watermelon Wave",200,35,Not listed,0,10,Sucralose,"Zero sugar, vitamins, female-fitness positioning",,,,
,,Bang,Bang Energy,4,473 mL can,473,,,,,,,"Rainbow Unicorn, Star Blast, Cotton Candy, Blue Razz, Peach Mango",300,40,85,0,0,Sucralose,"300 mg caffeine, BCAAs, CoQ10, zero calorie",,,,
,,Rockstar,Rockstar Energy,4,473 mL can,473,,,,,,,"Original, Sugar Free, Punched Fruit Punch, Pure Zero Silver Ice",160,65,Not listed,31,122,Sugar (or sucralose on zero),"Energy blend, taurine, guarana",,,,
,,GURU,GURU Organic Energy,4,250 mL can,250,,,,,,,"Original, Tropical Punch, Yerba Mate, GURU Lite (low-cal)",100,0,Not listed,21,80,"Organic cane sugar + organic white grape juice (Lite: stevia + monk fruit, 3 g sugar, 25 cal)","Certified organic, plant-based, natural caffeine (guarana/green tea/ginseng/echinacea); Canada Organic certified",,,,
,,Guayaki,Guayaki Yerba Mate,4,458 mL can,458,,,,,,,"Revel Berry, Enlighten Mint, Bluephoria, Lemon Elation, Orange Exuberance",150,0,Not listed,28,120,Organic cane sugar,"Organic, Fair Trade yerba mate, 150 mg natural caffeine; USDA/Canada Organic certified",,,,
,,NOS,NOS Energy Drink,4,473 mL can,473,,,,,,,"Original, Sugar Free",160,410,Not listed,54,210,HFCS + sucralose,"High-performance energy blend, taurine, L-theanine, guarana, B-vitamins",,,,
,,Starbucks,Starbucks Doubleshot Energy,4,444 mL can,444,,,,,,,"Coffee, Vanilla, Mocha, White Chocolate",135,170,Not listed,28,200,Sugar,"Espresso + skim milk + energy blend (guarana, ginseng, B-vitamins); 135 mg caffeine; separate from 6.5 fl oz Espresso + Cream product",,,,
,,Ghost,Ghost Energy,4,473 mL can,473,,,,,,,"Sour Patch Kids Redberry, Warheads Sour Watermelon, Swedish Fish, Tropical Mango, Orange Cream",200,30,Not listed,0,5,Sucralose + acesulfame-K,"200 mg natural caffeine, zero sugar, licensed-candy flavours, nootropic blend (L-carnitine, Alpha-GPC, NeuroFactor)",,,,
,,ZOA,ZOA Zero Sugar Energy,4,473 mL can,473,,,,,,,"Wild Orange, Super Berry, Tropical Punch, White Peach, Lemon Lime",160,200,60,0,15,Sucralose + acesulfame-K,"Natural caffeine from green tea + green coffee extract, 200 mg Na + 60 mg K electrolytes, vitamin C & B-vitamins, camu camu, zero sugar (Dwayne Johnson brand)",,,,
,,Zevia,Zevia Energy,4,355 mL can,355,,,,,,,"Mango Ginger, Grapefruit, Kola, Raspberry Lime",120,0,Not listed,0,0,Stevia,"Zero sugar, zero calorie, stevia-sweetened, no artificial sweeteners",,,,
,,Full Throttle,Full Throttle Energy,4,473 mL can,473,,,,,,,"Original Citrus, Blue Agave, Berry",160,140,Not listed,58,220,HFCS + sugar,"160 mg caffeine, D-ribose, B-vitamins (B3/B5/B6/B12); no taurine/ginseng; blue-collar positioning",,,,
,,Venom,Venom Energy,4,473 mL can,473,,,,,,,"Black Mamba, Mojave Rattler, Death Adder",160,310,Not listed,53,240,HFCS + sucralose,"Energy blend (taurine, guarana, L-carnitine, ginseng, inositol), B-vitamins",,,,
,,AMP,AMP Energy,4,473 mL can,473,,,,,,,"Original, Cherry Blast",142,140,0,58,220,HFCS,"142 mg caffeine, guarana seed extract, ginseng, taurine, B-vitamins (niacinamide/B5/B6/B12), 0 mg potassium; regional availability in select US markets (discontinued Canada 2023)",,,,
,,5-hour Energy,5-hour Energy Shot,4,57 mL shot,57,,,,,,,"Berry, Grape, Orange, Pomegranate, Peach Mango, Extra Strength Berry",200,18,Not listed,0,4,Sucralose,"Zero sugar energy shot, B-vitamins, amino acids, no crash",,,,
,,Monster,Monster Java,4,444 mL can,444,,,,,,,"Mean Bean, Loca Moca, Salted Caramel, Vanilla",200,460,460,35,220,Sugar + glucose + sucralose,"200 mg caffeine (coffee + added), brewed coffee + skim milk + cream, 8 g protein, 340 mg calcium, taurine + B-vitamins; contains dairy",,,,
,,Red Bull,Red Bull Editions,4,250 mL can,250,,,,,,,"Red (Watermelon), Blue (Blueberry), Yellow (Tropical), Green (Dragon Fruit), Peach (Nectarine), Summer",80,105,Not listed,27,110,Sucrose + glucose-fructose,"Flavoured Red Bull energy, taurine + B-vitamins",,,,
,,G FUEL,G FUEL Energy Cans,4,473 mL can,473,,,,,,,"Sour Cherry, Blue Ice, Tropical Rain, Fazeberry, Rainbow Sherbet",300,10,Not listed,0,10,Sucralose + acesulfame-K,"300 mg caffeine, zero sugar, gamer focus blend",,,,
,,Mtn Dew,Mtn Dew Rise Energy,4,473 mL can,473,,,,,,,"Orange Breeze, Berry Blast, Pomegranate Blue Burst, Tropical Sunrise",180,80,Not listed,0,15,Sucralose + acesulfame-K,"180 mg caffeine, zero sugar, vitamins, antioxidants",,,,
,,Adrenaline Shoc,Adrenaline Shoc Smart Energy,4,473 mL can,473,,,,,,,"Acai Berry, Sour Slurp, Frozen Fusion, Peach Mango",300,10,Not listed,0,15,Sucralose,"300 mg natural caffeine, nootropics, BCAAs, zero sugar",,,,
,,Arizona,Arizona Green Tea,4,680 mL can,680,,,,,,,"Green Tea w/ Honey, Arnold Palmer, Mucho Mango, Watermelon, Lemon Tea",22,0,Not listed,49,200,HFCS + honey,"Big-can iced tea, value 99c brand; 7.5 mg caffeine per 8 oz from green tea, ginseng root extract; 23oz can uses HFCS (Real Sugar version is 16oz glass bottle)",,,,
,,Pure Leaf,Pure Leaf Iced Tea,4,547 mL bottle,547,,,,,,,"Sweet Tea, Lemon, Unsweetened, Peach, Raspberry, Extra Sweet",70,10,Not listed,32,130,Sugar,"Real brewed tea, no powders",,,,
,,Gold Peak,Gold Peak Tea,4,547 mL bottle,547,,,,,,,"Sweet Tea, Unsweetened, Green Tea, Lemon, Peach",45,15,Not listed,35,140,Sugar,Home-brewed taste iced tea,,,,
,,Brisk,Brisk Iced Tea,4,591 mL bottle,591,,,,,,,"Lemon, Sweet Tea, Half & Half, Raspberry",18,170,Not listed,29,110,HFCS,Bold value iced tea; 20 oz bottle = 1 serving per container (whole-bottle figures); HFCS-sweetened,,,,
,,Honest Tea,Honest Tea Organic,4,473 mL bottle,473,,,,,,,"Honey Green, Peach, Half & Half, Lemon, Just Black",42,10,Not listed,21,90,Organic cane sugar,"Organic, Fair Trade, lower sugar tea",,,,
,,STOK,STOK Cold Brew Coffee,4,405 mL bottle,405,,,,,,,"Not Too Sweet Black, Un-Sweet Black, Vanilla, Mocha",145,40,Not listed,13,70,Sugar,"Smooth cold brew, real coffee",,,,
,,Califia Farms,Califia Farms Cold Brew,4,355 mL bottle,355,,,,,,,"Black Unsweetened, Mocha, Vanilla, Café Latte",120,30,Not listed,9,70,Cane sugar (plant-based),"Plant-based, almond/oat cold brew",,,,
,,La Colombe,La Colombe Draft Latte,4,260 mL can,260,,,,,,,"Original, Vanilla, Mocha, Oatmilk, Triple",120,70,Not listed,14,110,Cane sugar,"Frothy draft latte, real cold-pressed espresso",,,,
,,Starbucks,Starbucks Frappuccino,4,281 mL bottle,281,,,,,,,"Mocha, Vanilla, Caramel, Coffee, Dark Chocolate",90,85,Not listed,31,200,Sugar,Bottled coffee drink,,,,
,,Spindrift,Spindrift Sparkling Water,5,355 mL can,355,,,,,,,"Lemon, Raspberry Lime, Grapefruit, Half-Tea Half-Lemon, Pineapple, Blackberry, Strawberry, Orange Mango",0,0,Not listed,2,10,None (real squeezed fruit),"Real squeezed fruit, no added sugar/sweetener",,,,
,,LaCroix,LaCroix Sparkling Water,5,355 mL can,355,,,,,,,"Pamplemousse, Lime, Pure, Coconut, Berry, Passionfruit, Key Lime, Cerise Limon",0,0,Not listed,0,0,None (natural essence),"Zero calorie/sugar/sweetener, naturally essenced",,,,
,,bubly,bubly Sparkling Water,5,355 mL can,355,,,,,,,"Cherry, Lime, Grapefruit, Mango, Strawberry, Blackberry, Raspberry, Watermelon",0,0,Not listed,0,0,None (natural flavours),Zero calorie/sugar/sweetener,,,,
,,Waterloo,Waterloo Sparkling Water,5,355 mL can,355,,,,,,,"Black Cherry, Grape, Watermelon, Lemon-Lime, Peach, Mango Orange, Summer Berry",0,0,Not listed,0,0,None (natural flavours),"Zero calorie/sugar, bold true-to-fruit flavour",,,,
,,Perrier,Perrier Carbonated Mineral Water,5,330 mL can,330,,,,,,,"Original, Lime, Lemon, Pink Grapefruit, Strawberry, Peach",0,0,Not listed,0,0,None,"Natural French mineral water from Vergèze (9.5 mg/L sodium, 150 mg/L calcium — below 5 mg label threshold per serving, declared as 0 mg), naturally carbonated, premium",,,,
,,San Pellegrino,S.Pellegrino Sparkling Natural Mineral Water,5,500 mL bottle,500,,,,,,,Original (mineral),0,15,Not listed,0,0,None,"Italian Alpine natural mineral water, 33.6 mg/L sodium, 179 mg/L calcium, 52 mg/L magnesium, fine perlage, premium dining",,,,
,,San Pellegrino,Sanpellegrino Aranciata (Italian Sparkling Drink),5,330 mL can,330,,,,,,,"Aranciata, Aranciata Rossa, Limonata, Pompelmo, Melograno e Arancia",0,10,Not listed,16,70,Sugar + real fruit juice,Real fruit juice Italian sparkling beverage,,,,
,,Liquid Death,Liquid Death Sparkling Water,5,500 mL can,500,,,,,,,"Severed Lime, Mango Chainsaw, Berry It Alive, Convicted Melon, Grave Fruit, Pina Killada",0,5,Not listed,0,5,Agave nectar + stevia (2026),"Mountain water, zero sugar, irreverent brand, recyclable tallboy",,,,
,,Liquid Death,Liquid Death Mountain Water (Still),5,500 mL can,500,,,,,,,Still (unflavoured),0,0,Not listed,0,0,None,"Austrian Alps artesian water (single ingredient), pH ~8.0, zero-everything label, infinitely recyclable tallboy can, brand-driven",,,,
,,Topo Chico,Topo Chico Mineral Water,5,355 mL bottle,355,,,,,,,"Original, Twist of Lime, Twist of Grapefruit, Tangerine",0,15,Not listed,0,0,None,"Mexican mineral water from Monterrey source; 33 mg/L sodium (2025 Coca-Cola water quality report) → 11.7 mg/355 mL → label rounds to 15 mg; 140 mg/L calcium; pH 6.2; strong carbonation, cult following",,,,
,,Polar,Polar Seltzer,5,355 mL can,355,,,,,,,"Black Cherry, Ruby Red Grapefruit, Lime, Mandarin, Raspberry Lime, Vanilla",0,0,Not listed,0,0,None (natural flavours),"Zero calorie/sugar, wide flavour range, value",,,,
,,AHA,AHA Sparkling Water,5,355 mL can,355,,,,,,,"Lime + Watermelon, Citrus + Green Tea (+caffeine), Black Cherry + Coffee, Peach + Honey",30,0,Not listed,0,0,None (natural flavours),"Zero sugar, bold dual-flavour pairings, some with caffeine",,,,
,,Montellier,Montellier Carbonated Natural Spring Water,5,355 mL can,355,,,,,,,"Original, Lime, Lemon, Mango, Cranberry, Raspberry",0,5,Not listed,0,0,None,"Canadian natural spring water, carbonated, zero everything",,,,
,,Eska,Eska Sparkling Spring Water,5,500 mL bottle,500,,,,,,,"Original, Lemon, Lime",0,5,Not listed,0,0,None,"Canadian glacial-era spring water, naturally pure",,,,
,,Coca-Cola,Coca-Cola Classic,5,355 mL can,355,,,,,,,Classic,34,45,Not listed,39,140,High-fructose corn syrup / sugar,Classic cola (no functional claim),,,,
,,Zevia,Zevia Zero Calorie Soda,5,355 mL can,355,,,,,,,"Cola, Ginger Root Beer, Cream Soda, Dr. Zevia, Black Cherry, Grape, Lemon Lime Twist",0,0,Not listed,0,0,Stevia,"Zero sugar/calorie, stevia-sweetened, no artificial sweeteners; 0 mg sodium on label; Cola variant contains 45 mg caffeine (all other flavours 0 mg caffeine)",,,,
